title,date,creators,source,subjects,source_url,trove_url
"United Nations High Commissioner for Refugees (UNHCR) Executive Committee Meeting, Geneva, Switzerland: speech.",2002-09-30,"Ruddock, Philip; Liberal Party of Australia",MINISTER FOR IMMIGRATION AND MULTICULTURAL AND INDIGENOUS AFFAIRS,International cooperation; UN High Commissioner for Refugees; Refugees; People smuggling,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/ZHJ76%22,"http://trove.nla.gov.au/version/211248303
"
Julia Gillard hypocritical on boat deaths.,2010-07-06,"Truss, Warren; National Party of Australia","Office of TRUSS, WARREN, MP",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/DU8X6%22,"http://trove.nla.gov.au/version/211341179
"
Immigration minister arrives in Singapore,1978-07-12,"Mackellar, Michael",Minister for Immigration and Ethnic Affairs,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/HPR08003705%22,"http://trove.nla.gov.au/version/213724341
"
Budget 2014: Abbott's budget betrayal hits Refugee Council,2014-05-30,"Marles, Richard",SHADOW MINISTER FOR IMMIGRATION AND BORDER PROTECTION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3195532%22,"http://trove.nla.gov.au/version/211408957
"
Budget 2014: Abbott's budget betrayal hits Refugee Council,2014-05-30,"Rowland, Michelle",SHADOW MINISTER FOR CITIZENSHIP AND MULTICULTURALISM,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3195533%22,"http://trove.nla.gov.au/version/211408958
"
Blaming refugees for people smugglers' tricks not the solution: Greens,2012-06-05,"Hanson-Young, Sarah",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1691194%22,"http://trove.nla.gov.au/version/211374382
"
"Text of statement by the Minister for Immigration and Ethnic Affairs, the Hon. M.J.R. MacKellar, delivered to the UNHCR consultative meeting on the Indo-Chinese refugee situation at Geneva, 11 December 1978",1978-12-11,"Mackellar, Michael",Minister for Immigration and Ethnic Affairs,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/HPR08003635%22,"http://trove.nla.gov.au/version/213726714
"
Arrivals in Australia from Nauru.,2004-08-03,"Vanstone, Amanda; Liberal Party of Australia",MINISTER FOR IMMIGRATION AND MULTICULTURAL AND INDIGENOUS AFFAIRS,Resettlement; Immigration detention centres; Visas; Refugees; Nauru,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/CXLD6%22,"http://trove.nla.gov.au/version/211269485
"
Northern Territory celebrates Refugee Week 2012,2012-06-16,"Lundy, Kate",MINISTER FOR MULTICULTURAL AFFAIRS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2134852%22,"http://trove.nla.gov.au/version/211375033
"
Queensland kick starts Refugee Week celebrations,2015-06-14,"Dutton, Peter",MINISTER FOR IMMIGRATION AND BORDER PROTECTION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3894347%22,"http://trove.nla.gov.au/version/211913394
"
Transcript of doorstop interview: Sydney: 21 November 2012: Sri Lankan returns; Afghan return; Manus Island; Nauru; 'no advantage' principle for people onshore; humanitarian intake; Malaysia Arrangement.,2012-11-21,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,Sri Lankan returns; Afghan return; Manus Island; Nauru; 'no advantage' principle for people onshore; humanitarian intake; Malaysia Arrangement.,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2060941%22,"http://trove.nla.gov.au/version/211385560
"
"Transcript of doorstop interview: Sydney: 22 November 2012: Sri Lankan returns, Afghan return, Manus Island, Nauru, 'no advantage' principle for people onshore, humanitarian intake",2012-12-15,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,Sri Lankan returns; Afghan return; Manus Island; Nauru; 'no advantage' principle for people onshore; humanitarian intake,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2277648%22,"http://trove.nla.gov.au/version/211387201
"
New South Wales celebrates Refugee Week 2012,2012-06-16,"Lundy, Kate",MINISTER FOR MULTICULTURAL AFFAIRS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2134856%22,"http://trove.nla.gov.au/version/211375036
"
